titulo,anio,genero,poster,banner,descripcion
Avengers: Endgame,2019,Acción,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cnet1.cbsistatic.com/img/8hCTVdv5PbjQe3QwbS17Sw9CTPo=/1200x675/2019/04/25/9277c764-601d-4ab3-85f9-9c39d7f1ac5a/avengers-endgame-promo-crop.jpg","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
No Time to Die,2021,Acción,"https://m.media-amazon.com/images/M/MV5BYmQ3MTY4NDUtOWExZi00OGQxLTgzNmQtODI1MTFkZjMyMDY0XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.freim.tv/wp-content/uploads/2020/10/no-time-to-die.jpg","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
Aquaman,2018,Acción,"https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i.blogs.es/12a5f3/aquaman-image2/1366_2000.jpg","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
Batman v Superman: Dawn of Justice,2016,Acción,"https://m.media-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://sm.ign.com/t/ign_latam/screenshot/default/batmnvsuper1_xvef.1280.jpg","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
Justice League,2017,Acción,"https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg","https://as02.epimg.net/meristation/imagenes/2021/01/29/noticias/1611929945_725616_1611930136_noticia_normal_recorte1.jpg","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy"
Matrix,1999,Ciencia ficción,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg","https://e00-elmundo.uecdn.es/assets/multimedia/imagenes/2019/12/12/15761538684773.jpg","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
John Wick,2014,Acción,"https://m.media-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://media.gq.com.mx/photos/5ce19f41d09b9ac33d16885a/16:9/w_1920,c_limit/john%20wick%203.jpg","An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him."
John Wick: Chapter 2,2017,Acción,"https://m.media-amazon.com/images/M/MV5BMjE2NDkxNTY2M15BMl5BanBnXkFtZTgwMDc2NzE0MTI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.cloudflare.steamstatic.com/steam/apps/590780/header.jpg?t=1599589655","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
John Wick: Chapter 3 - Parabellum,2019,Acción,"https://m.media-amazon.com/images/M/MV5BMDg2YzI0ODctYjliMy00NTU0LTkxODYtYTNkNjQwMzVmOTcxXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.vox-cdn.com/thumbor/Dc8bBshDmxtKUCeTFovjt_pz_bM=/0x0:1777x999/1200x800/filters:focal(708x235:992x519)/cdn.vox-cdn.com/uploads/chorus_image/image/63756879/parabellumcover.0.jpg","John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere."
10 Things I Hate About You,1999,Romance,"https://m.media-amazon.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://townsquare.media/site/442/files/2014/03/10-Things-I-Hate-About-You.jpg?w=1200&h=0&zc=1&s=0&a=t&q=89","A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
Spider-Man: Far From Home,2019,Acción,"https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://miro.medium.com/max/3840/1*g-LMeGI4vBDeEMdjHzz9xA.jpeg","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
Brokeback Mountain,2005,Romance,"https://m.media-amazon.com/images/M/MV5BMTY5NTAzNTc1NF5BMl5BanBnXkFtZTYwNDY4MDc3._V1_UX182_CR0,0,182,268_AL_.jpg","https://media.revistagq.com/photos/5ca5f5d8d71dd93ec1957bc7/master/pass/brokeback_mountain_6716.jpg","The story of a forbidden and secretive relationship between two cowboys, and their lives over the years."
Zodiac,2007,Crimen,"https://m.media-amazon.com/images/M/MV5BN2UwNDc5NmEtNjVjZS00OTI5LWE5YjctMWM3ZjBiZGYwMGI2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://gonewiththetwins.com/new/wp-content/uploads/2016/06/zodiac.jpg","In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
The Vow,2012,Romance,"https://m.media-amazon.com/images/M/MV5BMjE1OTU5MjU0N15BMl5BanBnXkFtZTcwMzI3OTU5Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://pyxis.nymag.com/v1/imgs/d73/bd2/eb8984aa39bce15224a81fcc14a1cbb70e-09-thevow.rsocial.w1200.jpg","A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
Crazy Stupid Love,2011,Comedia,"https://m.media-amazon.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://images.amcnetworks.com/amctv.es/wp-content/uploads/2017/01/Crazy-Stupid-Love.jpg","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
Harry Potter and the Philosopher's Stone,2001,Fantasía,"https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg","https://upload.wikimedia.org/wikipedia/en/7/7a/Harry_Potter_and_the_Philosopher%27s_Stone_banner.jpg","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Harry Potter and the Chamber of Secrets,2002,Fantasía,"https://m.media-amazon.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1_UX182_CR0,0,182,268_AL_.jpg","https://images2.vudu.com/background/10323-576a.jpg","An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed."
Harry Potter and the Prisioner of Azkaban,2004,Fantasía,"https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://upload.wikimedia.org/wikipedia/en/b/bc/Prisoner_of_azkaban_UK_poster.jpg","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
Harry Potter and the Goblet of Fire,2005,Fantasía,"https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://upload.wikimedia.org/wikipedia/en/c/c9/Harry_Potter_and_the_Goblet_of_Fire_Poster.jpg","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
Harry Potter and the Order of the Phoenix,2007,Fantasía,"https://m.media-amazon.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1_UX182_CR0,0,182,268_AL_.jpg","https://upload.wikimedia.org/wikipedia/en/e/e7/Harry_Potter_and_the_Order_of_the_Phoenix_poster.jpg","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
Harry Potter and the Half-Blood Prince,2009,Fantasía,"https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://pyxis.nymag.com/v1/imgs/72f/707/3fc542812dba415d446dabec3f697627b0-08-harry-potter.2x.rsocial.w600.jpg","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as the property of the Half-Blood Prince and begins to learn more about Lord Voldemort's dark past."
Harry Potter and the Deathly Hallows: Part 1,2010,Fantasía,"https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i.ytimg.com/vi/Jr9OQROqxzE/maxresdefault.jpg","As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
Harry Potter and the Deathly Hallows: Part 2,2011,Fantasía,"https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg","http://microcapmag.com/wp-content/uploads/y20utinjnzgsdqtzabj0.jpg","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Beauty and the Beast,2017,Fantasía,"https://m.media-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i.ytimg.com/vi/e3Nl_TCQXuw/maxresdefault.jpg","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
Now You See Me,2013,Crimen,"https://m.media-amazon.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://viniloblog.com/wp-content/uploads/2020/05/now-you-see-me-2020.jpg","An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
Now You See Me 2,2016,Crimen,"https://m.media-amazon.com/images/M/MV5BYjhlNDljNTgtZjc4My00NmZmLTk2YzAtYWE5MDYwYjM4MTkzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://occ-0-33-37.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABW-AvZ6qeKHo9sj7Vbq3ZLiSpOA7vYfdGu9YlSNSal2OvQpFO6qmNa1gGRxRjvnltG1tjp3VCWC8G3frNtf-sgSk5rlh.jpg?r=e18","The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
The Social Network,2010,Drama,"https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.tonica.la/__export/1547334437994/sites/debate/img/2019/01/12/the-social-network-2_crop1547334343803.jpg_554688468.jpg","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business."
Baywatch,2017,Acción,"https://m.media-amazon.com/images/M/MV5BNTA4MjQ0ODQzNF5BMl5BanBnXkFtZTgwNzA5NjYzMjI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://img.ecartelera.com/noticias/fotos/51300/51356/1.jpg","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
The Greatest Showman,2017,Musical,"https://m.media-amazon.com/images/M/MV5BMjI1NDYzNzY2Ml5BMl5BanBnXkFtZTgwODQwODczNTM@._V1_UY268_CR0,0,182,268_AL_.jpg","https://arc-anglerfish-arc2-prod-copesa.s3.amazonaws.com/public/HV72VKZUJJCH3PW2FLJG5FEIAU.jpg","Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
Hobbs & Shaw,2019,Acción,"https://m.media-amazon.com/images/M/MV5BOTIzYmUyMmEtMWQzNC00YzExLTk3MzYtZTUzYjMyMmRiYzIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY268_CR1,0,182,268_AL_.jpg","https://m.media-amazon.com/images/S/aplus-media/vc/a5958a7e-b012-40f2-be09-2880fc15e5c1.__CR0,0,970,300_PT0_SX970_V1___.jpg","Lawman Luke Hobbs (Dwayne The Rock Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity."
Extremely Wicked Shockingly Evil and Vile,2019,Drama,"https://m.media-amazon.com/images/M/MV5BMjM4ZjY5ZmQtNjUwYi00Yzk2LWIwNmMtYTg1NmU0MWExZTMzXkEyXkFqcGdeQXVyMTg2MDEyMzM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.thesun.co.uk/wp-content/uploads/2019/02/NINTCHDBPICT000464476625-e1549271700499.jpg","A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years."
Mirror Mirror,2012,Fantasía,"https://m.media-amazon.com/images/M/MV5BMTExMjU4MTUwNTVeQTJeQWpwZ15BbWU3MDk2MzkwMjc@._V1_UX182_CR0,0,182,268_AL_.jpg","https://media.npr.org/assets/img/2012/03/28/m-446_08826_rgb_wide-1b04a1783e26fa8a324ae467f9859429c1a75aca.jpg?s=1400","An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright."
Interstellar,2014,Ciencia Ficción,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg","https://images.squarespace-cdn.com/content/v1/5a78ab8490badee028bef0e9/1568935524292-TPSLMXHD9HE6PKN02YOG/ke17ZwdGBToddI8pDm48kPTrHXgsMrSIMwe6YW3w1AZ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0k5fwC0WRNFJBIXiBeNI5fKTrY37saURwPBw8fO2esROAxn-RKSrlQamlL27g22X2A/Interstellar.jpg","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
Zombieland,2009,Comedia,"https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_UY268_CR5,0,182,268_AL_.jpg","https://i.ytimg.com/vi/2PHSJ8705Zg/maxresdefault.jpg","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
Zombieland: Double Tap,2019,Comedia,"https://m.media-amazon.com/images/M/MV5BYjcwNjZhNGYtOGNlNy00NGI3LTlmODMtMGZlMjA3YjA0Njg0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.hobbyconsolas.com/sites/navi.axelspringer.es/public/media/image/2019/10/zombieland-2.jpg","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family."
American Hustle,2013,Crimen,"https://m.media-amazon.com/images/M/MV5BMmM4YzJjZGMtNjQxMy00NjdlLWJjYTItZWZkYzdhOTdhNzFiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg","https://api.time.com/wp-content/uploads/2014/10/ap910210324519.jpg","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
Arrival,2016,Ciencia Ficción,"https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_UX182_CR0,0,182,268_AL_.jpg","https://lh3.googleusercontent.com/proxy/ESFfshWCmz11OMo9YL3exqqUQU1vmGdZdzlLzdkFgr3wwP-SAdwI0OOSdBFib6N531lkbHaZ0yxnU5kOhs6VpFCX9NtZKkN2E3gQwcvh2eTiR6xFYw","A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world."
The Man from U.N.C.L.E.,2015,Acción,"https://m.media-amazon.com/images/M/MV5BOTZmMWFhYmQtZDE5YS00YzBlLWJlOGEtYzAwNGU1YzVlYjZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.bandassonoras.co/wp-content/uploads/2018/02/manfromuncle-armiehammer-henrycavill-rooftop.jpg","In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
The Amazing Spider-Man,2012,Acción,"https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.hobbyconsolas.com/sites/navi.axelspringer.es/public/styles/1200/public/media/image/2013/06/230866-ya-tienen-fecha-estreno-amazing-spider-man-3-4.jpg?itok=A1qMYhgx","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
