titulo,anio,genero,poster,banner,descripcion
Avengers,2012,Acción,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.cinepremiere.com.mx/wp-content/uploads/2012/04/avengers-critica-pelicula-1024x559.jpg","Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
Spider-Man,2002,Acción,"https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i.ytimg.com/vi/qm21O3prB5w/maxresdefault.jpg","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
Spider-Man 2,2004,Acción,"https://m.media-amazon.com/images/M/MV5BMzY2ODk4NmUtOTVmNi00ZTdkLTlmOWYtMmE2OWVhNTU2OTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR6,0,182,268_AL_.jpg","https://i.blogs.es/e65b90/spiderman2/1366_2000.jpg","Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius."
Spider-Man 3,2007,Acción,"https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.hobbyconsolas.com/sites/navi.axelspringer.es/public/styles/1200/public/media/image/2014/04/308986-critica-spider-man-3-2007.jpg?itok=V2beCdCV","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
Spider-Man: Homecoming,2017,Acción,"https://m.media-amazon.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i.blogs.es/9d89b1/cartel-homecoming-spiderman/1366_2000.jpg","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Jumanji: Welcome to the Jungle,2017,Comedia,"https://m.media-amazon.com/images/M/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://d1nslcd7m2225b.cloudfront.net/Pictures/480xany/3/1/5/1274315_jumanjiwelcometothejungle_587282.jpg","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
Mamma Mia!,2008,Musical,"https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.forbes.com.mx/2018/09/mamma-640x360.jpg","The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA."
Mamma Mia! Here We Go Again,2018,Musical,"https://m.media-amazon.com/images/M/MV5BMjEwMTM3OTI1NV5BMl5BanBnXkFtZTgwNDk5NTY0NTM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://duplosite.files.wordpress.com/2018/08/mamma-mia-here-we-go-again.png?w=940&h=528&crop=1","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
Ocean's Eleven,2001,Acción,"https://m.media-amazon.com/images/M/MV5BYzVmYzVkMmUtOGRhMi00MTNmLThlMmUtZTljYjlkMjNkMjJkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.cinemascomics.com/wp-content/uploads/2020/04/oceans-eleven-e1587726879450.jpg","Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously."
Ocean's Twelve,2004,Acción,"https://m.media-amazon.com/images/M/MV5BMmJmYzBjNTktMTJjZS00ZGRhLWE1Y2QtOWQxZGU0Y2RmMjkyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://occ-0-444-2705.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABRy8JnWuLSUVWW0PqkY542LGynm_OReJ6ygfo_h3KlzdrL6wI6vjhtiz6s8CHMO5KMmXuifw6ZKqGks_QdqsSXYzuFaq.jpg?r=95d","Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001)."
